id	L4	L27	L9	L3	L25	L21	L2	L15	L12	L1	P4	P27	P9	P3	P25	P21	P2	P15	P12	P1	S4	S27	S9	S3	S25	S21	S2	S15	S12	S1	pts	string
44	9	0	6	0	0	0	2	7	0	0	1	0	3	0	0	0	7	8	0	0	81	0	42	0	0	0	6	14	0	0	143	9060002700
77	4	9	0	0	0	6	0	0	8	0	1	2	0	0	0	6	0	0	9	0	36	72	0	0	0	24	0	0	8	0	140	4900060080
6	6	4	1	7	0	0	0	2	0	0	1	2	3	4	0	0	0	8	0	0	54	32	7	42	0	0	0	4	0	0	139	6417000200
34	8	0	0	0	8	0	0	8	0	0	1	0	0	0	5	0	0	8	0	0	72	0	0	0	40	0	0	16	0	0	128	8000800800
81	8	4	0	0	0	0	6	0	0	0	1	2	0	0	0	0	7	0	0	0	72	32	0	0	0	0	18	0	0	0	122	8400006000
94	2	0	9	0	0	5	0	6	7	9	1	0	3	0	0	6	0	8	9	10	18	0	63	0	0	20	0	12	7	0	120	2090050679
24	3	8	0	0	0	6	0	0	0	0	1	2	0	0	0	6	0	0	0	0	27	64	0	0	0	24	0	0	0	0	115	3800060000
98	7	0	0	7	0	0	0	0	0	5	1	0	0	4	0	0	0	0	0	10	63	0	0	42	0	0	0	0	0	0	105	7007000005
9	7	0	0	0	3	5	0	1	0	0	1	0	0	0	5	6	0	8	0	0	63	0	0	0	15	20	0	2	0	0	100	7000350100
23	3	7	0	1	0	2	0	1	0	0	1	2	0	4	0	6	0	8	0	0	27	56	0	6	0	8	0	2	0	0	99	3701020100
80	3	0	0	8	0	0	8	0	0	0	1	0	0	4	0	0	7	0	0	0	27	0	0	48	0	0	24	0	0	0	99	3008008000
78	0	0	0	0	5	8	9	6	0	0	0	0	0	0	5	6	7	8	0	0	0	0	0	0	25	32	27	12	0	0	96	0000589600
21	5	0	0	0	0	0	9	9	5	0	1	0	0	0	0	0	7	8	9	0	45	0	0	0	0	0	27	18	5	0	95	5000009950
4	0	0	0	8	0	8	0	7	0	0	0	0	0	4	0	6	0	8	0	0	0	0	0	48	0	32	0	14	0	0	94	0008080700
62	2	5	4	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	18	40	28	0	0	0	0	0	0	0	86	2540000000
76	0	0	0	0	7	8	3	0	7	9	0	0	0	0	5	6	7	0	9	10	0	0	0	0	35	32	9	0	7	0	83	0000783079
25	4	0	4	0	0	0	0	4	4	5	1	0	3	0	0	0	0	8	9	10	36	0	28	0	0	0	0	8	4	0	76	4040000445
67	0	0	3	0	3	8	0	4	0	9	0	0	3	0	5	6	0	8	0	10	0	0	21	0	15	32	0	8	0	0	76	0030380409
66	6	0	0	0	0	5	0	0	0	0	1	0	0	0	0	6	0	0	0	0	54	0	0	0	0	20	0	0	0	0	74	6000050000
100	3	0	0	0	9	0	0	0	2	7	1	0	0	0	5	0	0	0	9	10	27	0	0	0	45	0	0	0	2	0	74	3000900027
1	0	0	0	3	4	1	9	0	4	1	0	0	0	4	5	6	7	0	9	10	0	0	0	18	20	4	27	0	4	0	73	0003419041
47	0	0	0	0	9	0	4	8	0	7	0	0	0	0	5	0	7	8	0	10	0	0	0	0	45	0	12	16	0	0	73	0000904807
52	6	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	8	0	0	54	0	0	0	0	0	0	18	0	0	72	6000000900
99	0	0	4	0	0	5	5	4	0	0	0	0	3	0	0	6	7	8	0	0	0	0	28	0	0	20	15	8	0	0	71	0040055400
40	0	4	0	0	0	3	0	9	6	9	0	2	0	0	0	6	0	8	9	10	0	32	0	0	0	12	0	18	6	0	68	0400030969
71	0	0	0	6	0	8	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	36	0	32	0	0	0	0	68	0006080000
58	0	0	0	7	0	0	8	0	0	0	0	0	0	4	0	0	7	0	0	0	0	0	0	42	0	0	24	0	0	0	66	0007008000
48	6	0	0	0	0	0	0	3	5	0	1	0	0	0	0	0	0	8	9	0	54	0	0	0	0	0	0	6	5	0	65	6000000350
20	3	0	0	0	5	0	2	0	6	0	1	0	0	0	5	0	7	0	9	0	27	0	0	0	25	0	6	0	6	0	64	3000502060
39	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	64	0800000000
54	4	0	0	0	0	0	7	3	0	0	1	0	0	0	0	0	7	8	0	0	36	0	0	0	0	0	21	6	0	0	63	4000007300
17	3	0	0	0	6	0	2	0	0	4	1	0	0	0	5	0	7	0	0	10	27	0	0	0	30	0	6	0	0	0	63	3000602004
16	0	0	0	0	9	0	2	6	0	0	0	0	0	0	5	0	7	8	0	0	0	0	0	0	45	0	6	12	0	0	63	0000902600
30	6	0	0	0	0	0	0	4	0	3	1	0	0	0	0	0	0	8	0	10	54	0	0	0	0	0	0	8	0	0	62	6000000403
36	0	4	0	5	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	32	0	30	0	0	0	0	0	0	62	0405000000
13	0	5	0	0	0	5	0	0	1	5	0	2	0	0	0	6	0	0	9	10	0	40	0	0	0	20	0	0	1	0	61	0500050015
28	0	0	5	0	0	0	8	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	35	0	0	0	24	0	0	0	59	0050008000
93	0	0	3	0	3	5	0	0	3	1	0	0	3	0	5	6	0	0	9	10	0	0	21	0	15	20	0	0	3	0	59	0030350031
72	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	6	0	0	0	0	36	0	0	0	0	20	0	0	0	0	56	4000050000
46	0	0	8	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	56	0080000000
70	0	0	0	6	0	0	5	0	0	0	0	0	0	4	0	0	7	0	0	0	0	0	0	36	0	0	15	0	0	0	51	0006005000
69	0	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	49	0070000000
64	0	0	0	0	8	0	0	0	8	0	0	0	0	0	5	0	0	0	9	0	0	0	0	0	40	0	0	0	8	0	48	0000800080
32	2	0	0	0	0	2	7	0	0	3	1	0	0	0	0	6	7	0	0	10	18	0	0	0	0	8	21	0	0	0	47	2000027003
59	0	1	0	0	0	0	9	6	0	0	0	2	0	0	0	0	7	8	0	0	0	8	0	0	0	0	27	12	0	0	47	0100009600
96	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	45	5000000000
22	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	45	5000000000
97	0	0	0	0	9	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	45	0000900000
61	0	0	5	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	9	0	0	0	35	0	0	0	0	0	9	0	44	0050000090
7	0	0	0	7	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	10	0	0	0	42	0	0	0	0	0	0	42	0007000003
63	0	1	0	0	3	0	0	9	0	0	0	2	0	0	5	0	0	8	0	0	0	8	0	0	15	0	0	18	0	0	41	0100300900
50	0	5	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	10	0	40	0	0	0	0	0	0	0	0	40	0500000005
41	0	3	0	0	0	0	4	0	0	8	0	2	0	0	0	0	7	0	0	10	0	24	0	0	0	0	12	0	0	0	36	0300004008
85	0	0	0	6	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	10	0	0	0	36	0	0	0	0	0	0	36	0006000002
29	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	35	0050000000
53	0	0	0	4	0	0	0	4	3	3	0	0	0	4	0	0	0	8	9	10	0	0	0	24	0	0	0	8	3	0	35	0004000433
74	0	0	0	0	0	4	0	9	0	0	0	0	0	0	0	6	0	8	0	0	0	0	0	0	0	16	0	18	0	0	34	0000040900
83	0	0	3	2	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	21	12	0	0	0	0	0	0	33	0032000000
35	0	0	0	0	0	8	0	0	0	9	0	0	0	0	0	6	0	0	0	10	0	0	0	0	0	32	0	0	0	0	32	0000080009
89	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	30	0005000000
38	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	6	0	0	9	0	0	0	0	0	0	28	0	0	2	0	30	0000070020
31	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	27	0	0	0	27	0000009000
73	0	0	0	0	0	0	7	2	0	1	0	0	0	0	0	0	7	8	0	10	0	0	0	0	0	0	21	4	0	0	25	0000007201
90	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	24	0004000000
51	0	0	0	0	0	0	8	0	0	8	0	0	0	0	0	0	7	0	0	10	0	0	0	0	0	0	24	0	0	0	24	0000008008
37	0	0	0	2	2	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	22	0002200000
43	0	0	0	0	3	0	0	0	7	0	0	0	0	0	5	0	0	0	9	0	0	0	0	0	15	0	0	0	7	0	22	0000300070
95	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	21	0030000000
45	0	0	0	3	0	0	0	1	1	0	0	0	0	4	0	0	0	8	9	0	0	0	0	18	0	0	0	2	1	0	21	0003000110
91	0	0	0	0	0	0	6	0	0	9	0	0	0	0	0	0	7	0	0	10	0	0	0	0	0	0	18	0	0	0	18	0000006009
68	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	18	0	0	0	18	0000006000
55	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	16	0200000000
42	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	0000040000
19	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	8	0	10	0	0	0	0	0	0	0	16	0	0	16	0000000801
56	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	14	0020000000
10	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	12	0002000000
84	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	9	0	0	8	0	0	0	0	0	0	2	0	10	0100000020
75	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	10	0	0	10	0000000500
2	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0	0	0	4	5	0	9	0000000250
60	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0	0	0	9	0	9	0000000091
26	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	9	0	9	0000000090
8	0	0	0	0	0	0	2	0	2	7	0	0	0	0	0	0	7	0	9	10	0	0	0	0	0	0	6	0	2	0	8	0000002027
15	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	6	0	6	0000000060
92	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0000100000
11	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	5	0	5	0000000050
33	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	4	0	4	0000000040
57	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0000001000
27	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0000000003
